estimate	se	df	Tval	pval	protein	taxonomy	qval	signif
2.2800480367772	0.1160366353101	173.880108351846	19.6493808242882	5.03638630456455e-46	P00490	Escherichia coli (strain K12)	2.06642930076284e-42	TRUE
2.42790296418719	0.122379469759424	115.679183145849	19.8391361636067	4.93502089489482e-39	P0ADY1	Escherichia coli (strain K12)	1.01241953658767e-35	TRUE
2.44211453137548	0.136197732471025	144.16966008787	17.930654843281	1.5646673941491e-38	P00582	Escherichia coli (strain K12)	2.13994343939791e-35	TRUE
2.07940825087277	0.132008580930602	162.878533595248	15.752068814117	1.46517828721717e-34	P04825	Escherichia coli (strain K12)	1.50290662811301e-31	TRUE
2.25731484901701	0.115887210937453	82.1959827312853	19.4785501416144	1.53045930566488e-32	P0ABA6	Escherichia coli (strain K12)	1.2558949062286e-29	TRUE
2.49293453675241	0.162438186425644	133.737549255659	15.3469734648481	2.7471539686472e-31	P76558	Escherichia coli (strain K12)	1.87859545555991e-28	TRUE
2.22709864779612	0.132585444766739	90.0938751651439	16.7974595681623	1.6863578033895e-29	Q46857	Escherichia coli (strain K12)	9.88446581043871e-27	TRUE
2.56823946383328	0.187575547788951	168.878081370457	13.6917604352296	3.48043548207233e-29	P33195	NA	1.78502834786784e-26	TRUE
2.31157099600701	0.148235384306488	101.921609842683	15.5939218346658	9.52093386046618e-29	P00959	Escherichia coli (strain K12)	4.34048795883253e-26	TRUE
2.13216718977774	0.157522794842494	150.162938116269	13.5356104613919	8.60120974570337e-28	P0A9M0	Escherichia coli (strain K12)	3.52907635866209e-25	TRUE
2.05025027431404	0.127915025693631	83.3715485694576	16.0282207910788	3.44605877734758e-27	P04805	Escherichia coli (strain K12)	1.28537992395065e-24	TRUE
2.34552474527	0.160423756841494	105.184033878454	14.6208067399113	4.33815578535928e-27	P25665	Escherichia coli (strain K12)	1.48328776561076e-24	TRUE
2.2962362032934	0.148825006475927	89.6822191099464	15.4291019880776	5.6814046429296e-27	P17169	Escherichia coli (strain K12)	1.79313871153386e-24	TRUE
2.1339905624345	0.145471239536806	102.37702626306	14.6695014714202	6.48738658557001e-27	P0A8M0	Escherichia coli (strain K12)	1.90126765432813e-24	TRUE
2.25908472936866	0.15512271861102	103.419110588631	14.5632100158937	8.49913214822031e-27	P60906	Escherichia coli (strain K12)	2.3247959469432e-24	TRUE
1.98821512903282	0.125470996665733	82.3457379116327	15.8460136754123	9.88965099177668e-27	P35340	Escherichia coli (strain K12)	2.53607737620373e-24	TRUE
2.39687975492659	0.16662486948882	104.673133264725	14.384886015394	1.52367367597125e-26	P0A8M3	Escherichia coli (strain K12)	3.67743123088826e-24	TRUE
2.37568329377921	0.167642660132386	105.645881577056	14.1711142730803	3.51939774917639e-26	P21889	Escherichia coli (strain K12)	8.02227164715041e-24	TRUE
2.26564936495178	0.157859462090642	99.6069900237236	14.3523190497814	5.47126141050918e-26	P00962	Escherichia coli (strain K12)	1.18150450354311e-23	TRUE
2.3535439467103	0.170641614916962	110.059039933711	13.7923211044128	9.75172838657258e-26	P08506	Escherichia coli (strain K12)	2.00056707850537e-23	TRUE
2.01593351600762	0.137761681899995	86.4030374864482	14.6334850751245	4.12853056348733e-25	P00550	Escherichia coli (strain K12)	8.06636233428024e-23	TRUE
2.26147968511668	0.153180988922729	83.4589406886844	14.7634487870911	5.44478901410862e-25	Q46851	Escherichia coli (strain K12)	1.01545315113126e-22	TRUE
2.31671892058926	0.159527465008788	84.4396847259021	14.5223828414852	1.12314421850054e-24	P32132	Escherichia coli (strain K12)	1.9369652513547e-22	TRUE
2.36596021588094	0.15263766844907	72.2201206534557	15.5005002364169	1.13300429033665e-24	P0A855	Escherichia coli (strain K12)	1.9369652513547e-22	TRUE
1.9415712926943	0.130403478288111	78.65997096378	14.8889532563283	1.35569730208957e-24	P07004	Escherichia coli (strain K12)	2.2249704121894e-22	TRUE
2.1470411868186	0.161640558059512	107.203458765348	13.2828122631705	2.17238052417784e-24	P25526	Escherichia coli (strain K12)	3.4281835733468e-22	TRUE
2.26730855482861	0.145967733745288	69.4681329318157	15.5329434571139	2.71825207121447e-24	P00946	Escherichia coli (strain K12)	4.13073638821962e-22	TRUE
2.09570039191732	0.164687466732736	124.228460216674	12.7253180432871	2.9197497513646e-24	P23538	Escherichia coli (strain K12)	4.27847615351748e-22	TRUE
2.24738789696781	0.167851201612344	101.085603529334	13.3891677591812	3.99782347207864e-24	P00363	Escherichia coli (strain K12)	5.57591436041801e-22	TRUE
2.23468417680894	0.15501162327704	81.355855799107	14.4162362122682	4.07695419967195e-24	P0ADE8	Escherichia coli (strain K12)	5.57591436041801e-22	TRUE
2.50902826481998	0.200657158270746	125.624649260545	12.5040556063022	8.33961542475548e-24	P0A698	Escherichia coli (strain K12)	1.10378845444425e-21	TRUE
2.24499462309968	0.1702114838352	95.5821439946883	13.1894427597688	3.05673279816132e-23	P0A7E5	Escherichia coli (strain K12)	3.91930458464247e-21	TRUE
2.55330257931246	0.173750293759398	70.952055660508	14.6952417982565	3.22799577664694e-23	P33232	Escherichia coli (strain K12)	4.01347474896437e-21	TRUE
2.29850888566377	0.190432972205023	133.184529187594	12.0699102631721	4.02375536841173e-23	P33602	Escherichia coli (strain K12)	4.85572596370392e-21	TRUE
2.45185048349707	0.174345389335379	77.6218802191628	14.0631793753982	4.79080221754185e-23	P37645	Escherichia coli (strain K12)	5.61618899959263e-21	TRUE
2.36098932496289	0.153018949286758	61.5480845882196	15.4293918234819	7.96670627289645e-23	P69805	Escherichia coli (strain K12)	9.07983217713726e-21	TRUE
2.19627263695926	0.16268266674458	84.3204078023954	13.5003481373189	8.75589416678272e-23	P69797	Escherichia coli (strain K12)	9.70957669359716e-21	TRUE
2.18969971474168	0.176134789432825	110.808980338855	12.4319546512803	9.55818429543477e-23	P75682	Escherichia coli (strain K12)	1.03203237274129e-20	TRUE
2.33253696681413	0.170957677733475	80.5361173513775	13.6439439148827	1.21104482055454e-22	P07650	Escherichia coli (strain K12)	1.27408125608597e-20	TRUE
2.41037573412413	0.212848805697092	173.061748202	11.3243563957525	1.34152782769038e-22	P00961	Escherichia coli (strain K12)	1.37607216925341e-20	TRUE
2.13605219450486	0.144629590093401	65.65755798488	14.7691229237766	1.50482202977335e-22	P07102	Escherichia coli (strain K12)	1.50592311906343e-20	TRUE
2.41135676730869	0.176304271009381	78.2959938884586	13.6772453299239	1.88356961543539e-22	P60785	Escherichia coli (strain K12)	1.84006812669795e-20	TRUE
2.1762624454795	0.174857126486781	104.790697320511	12.4459465233407	2.23524376877076e-22	P24171	Escherichia coli (strain K12)	2.13283841471312e-20	TRUE
2.20505365282255	0.170390438194784	88.5894329715874	12.9411818889849	3.9661224308865e-22	P23830	Escherichia coli (strain K12)	3.69840916680166e-20	TRUE
2.07674887823937	0.176243361366883	125.170803376374	11.7834161930005	5.04462454193787e-22	P0A6F3	Escherichia coli (strain K12)	4.59957655457135e-20	TRUE
2.36071341769027	0.212009577197338	169.215836464465	11.1349376235627	5.92093338488856e-22	P0AFG3	Escherichia coli (strain K12)	5.2812151474343e-20	TRUE
2.17451341713526	0.177163485793362	101.289266308068	12.2740496293437	9.22658268567607e-22	P0C0V0	Escherichia coli (strain K12)	8.0546103743253e-20	TRUE
2.00250513096886	0.152764177052888	80.8076537578616	13.108473266449	1.06232118892085e-21	Q46829	Escherichia coli (strain K12)	9.08063299612972e-20	TRUE
2.28961139297722	0.176140154845263	82.2856014349908	12.9988042476097	1.20508568672057e-21	P0ABZ6	Escherichia coli (strain K12)	1.00907481073766e-19	TRUE
2.25221193505318	0.164065031264569	69.6608740164654	13.7275561872858	1.71028566549916e-21	P39099	Escherichia coli (strain K12)	1.40346041710861e-19	TRUE
2.12157908084139	0.166950925938495	86.1328532631733	12.7078006241366	1.87179433251899e-21	P02943	Escherichia coli (strain K12)	1.50587689143636e-19	TRUE
2.17020842199916	0.167355776506035	80.0467525153778	12.9676337877761	2.29467858547148e-21	P37637	Escherichia coli (strain K12)	1.81058966080567e-19	TRUE
