	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
A0AVT1;A0AVT1-2	Homo sapiens	-0.14728152624283344	0.19566513471559813	0.002944740120446192	0.00244332731119049	2.0	0.07641045106172284
A2A2V2;P42696	Homo sapiens	-0.08448742421231531	0.16309600764440416	0.002832383154865924	0.028879659286943745	2.0	0.06381145218184459
A2RRF3;Q9UBC2;Q9UBC2-2	Homo sapiens	-0.18767500350986333	0.2011275258928608	0.004780307758822369	0.015816415538048433	2.0	0.09914306817558677
A6NF48;Q9Y2X9	Homo sapiens	0.5694456887176442	1.7221071289969188	0.012007554507673194	1.1380538689551054	2.0	0.3064208909379927
A6NJ78	Homo sapiens	0.8342684378731304	1.337176721616179	0.006496006659993857	1.0857917277284157	2.0	0.134994319908114
P00887	Escherichia coli (strain K12)	0.2785910577696533	1.1669087180008089	0.010696434345692295	0.6947502431282254	2.0	0.2347713269748373
P00895	Escherichia coli (strain K12)	1.5262873574407625	1.7539635285139257	0.002415261235556236	1.6446079677251393	2.0	0.05924304391968435
P00904	Escherichia coli (strain K12)	0.3962126225489983	0.5830361404279192	0.002416329743479758	0.4907818865103656	2.0	0.050064005280421806
P02918	Escherichia coli (strain K12)	1.5341992854216429	1.8159551254902344	0.003361301482026532	1.6679668228671851	2.0	0.07495204344131969
P03018	Escherichia coli (strain K12)	0.7660611059545843	2.0824686915049675	0.014415382952331853	1.4141028834330418	2.0	0.3361087809552811
A3KMH1-2;E2QRD0;A3KMH1-3;A3KMH1	Homo sapiens	-0.3576335468944074	0.2383268267316517	0.0066830643974669385	-0.0404864325111866	3.0	0.1521370803789374
A6H8Z3;Q15042;C9J837	Homo sapiens	-0.22595023674835235	0.1089388749820528	0.0039030121841097725	-0.028981124470081093	3.0	0.08832667339274691
A6NDG6	Homo sapiens	-0.11163707940188436	0.14299658597285675	0.0030575126279706977	0.010268624275656378	3.0	0.06500076056034114
A6NG79;E9PGC6;Q92733	Homo sapiens	-0.05649860241810445	0.14301578323013786	0.0026342527218508947	0.039394901071553336	3.0	0.05664756229281629
A8MVD5;Q99426	Homo sapiens	-0.05328054036176378	0.05803272339593641	0.0013307217354944305	-0.0014564309915411535	3.0	0.029058016866294837
P00803	Escherichia coli (strain K12)	1.2758044515790057	1.6537390523123103	0.0045806811263592465	1.4559128245893704	3.0	0.10059219881183876
P03004	Escherichia coli (strain K12)	1.018639268099886	1.4432349908914297	0.004771492323635039	1.2419019544975576	3.0	0.11229745868630107
P04846	Escherichia coli (strain K12)	1.4273829617820015	1.6663540437909743	0.0027464895339989115	1.547976536454385	3.0	0.06303800144366557
P05194	Escherichia coli (strain K12)	1.1671283467221822	1.6385176738949685	0.005231639832204735	1.3997597252465792	3.0	0.12110507640438135
P05458	Escherichia coli (strain K12)	0.6047714047961552	1.1254405968420198	0.006624920549918698	0.8666685090661269	3.0	0.1365185121997227
A1A528;O43264	Homo sapiens	-0.09081679186035904	0.27867477659362244	0.00422510682730154	0.06511413317653636	4.0	0.09418895153602898
A8MU28;Q13564-2;Q13564;A6NCK0	Homo sapiens	-0.11761092950102375	0.11494083883218473	0.0024232539281774674	-0.002488230019841572	4.0	0.055711764978913926
B4DDG1;P68036;E7EWS7	Homo sapiens	-0.15876498133034228	0.3739698812004976	0.00633068199817421	0.07836228271081422	4.0	0.13627710408997853
B4DLN1;P52815	Homo sapiens	-0.23217096553209216	0.0925157583125404	0.0038215011256221695	-0.03096436636047825	4.0	0.0854499708221472
B4DMT5;O00303;B3KSH1	Homo sapiens	-0.021977088865139	0.22493617547994035	0.002978494623677413	0.0897435605853822	4.0	0.06468852293835023
P00562	Escherichia coli (strain K12)	1.4543389464379817	1.7793891773796813	0.003541640007078853	1.6160755091245709	4.0	0.08517614168565776
P00926	Escherichia coli (strain K12)	0.7212687949845638	0.9388009171544116	0.002495961207686016	0.8279499147185805	4.0	0.0558884748070907
P02916	Escherichia coli (strain K12)	0.955489607446913	1.2267887714769588	0.002826022148154082	1.0865656666681751	4.0	0.06692367720161953
P06983	Escherichia coli (strain K12)	1.4861879770407052	1.738288994262304	0.002790970611941514	1.6097573941571257	4.0	0.06632000819643362
P07862	Escherichia coli (strain K12)	2.419636832277992	2.8368724462843216	0.004989685344723272	2.6249804333151188	4.0	0.1089014368424548
A1L0T0	Homo sapiens	-0.12062723957952602	0.07854599326491042	0.001990429346531715	-0.011923708321736486	5.0	0.05038120948638875
B7Z5S1;Q9NTI5-2;Q9NTI5	Homo sapiens	-0.07263080504334116	0.09102130157981256	0.0019460540906518359	0.005028390661651951	5.0	0.04399615693008675
B7Z815;Q93009;F5H8E5	Homo sapiens	-0.09751252693791862	0.15811143546298487	0.0024660333135334642	0.023687679067106004	5.0	0.0631652360516547
C9J384;E9PHS3;Q9BQ75	Homo sapiens	-0.09045035764491094	0.2310503357335147	0.005132421843632052	0.062376105456330586	5.0	0.11454994667524265
D6RG15;Q6IBS0	Homo sapiens	-0.08609767009292939	0.06940595915818977	0.0017828949763287196	-0.009984871301064001	5.0	0.035967337597756964
P04425	Escherichia coli (strain K12)	0.96642711342245	1.248715692033754	0.00339434507978355	1.1108111637666722	5.0	0.07447637304951636
P07024	Escherichia coli (strain K12)	1.4664610090680492	1.8658540558337924	0.0040202453224424135	1.6475871368618942	5.0	0.10285462740222008
P08178	Escherichia coli (strain K12)	0.2078233716427013	0.7149772217984105	0.006160351712254351	0.4713671343547555	5.0	0.13761596836923906
P08192	Escherichia coli (strain K12)	1.7922864676847077	2.2575881187576625	0.005920265224531348	2.0318503632072407	5.0	0.12265420185450412
P0A6A0	Escherichia coli (strain K12)	1.1390225564498544	1.3711640085611183	0.0024347578527541035	1.253006283495805	5.0	0.05906234909201096
A6NJA2;B7Z4N8;P54578	Homo sapiens	-0.033725086258362416	0.1614529567706229	0.002355940373242516	0.04490695258797571	6.0	0.05436379681225058
B4DJP7;P62318	Homo sapiens	0.1108277627816967	0.28109563318130903	0.0019349790923465981	0.195314951458206	6.0	0.043576945841955615
B4DL14;P36542-2;P36542	Homo sapiens	0.032423706616064904	0.2970328574107427	0.003172204303755393	0.15386330201908233	6.0	0.06899705217479184
