estimate	se	df	Tval	pval	qval	signif	Protein.IDs	taxonomy
1.55360718047541	0.122995340778582	1825.50404317944	12.6314311634961	3.98761624708078e-35	2.27493506895958e-31	TRUE	P13029	Escherichia coli (strain K12)
1.27434170451536	0.107192278682033	2601.2824884402	11.8883721867269	8.90845619774121e-32	2.54113713040568e-28	TRUE	P63284	Escherichia coli (strain K12)
1.14454909700264	0.100986948088388	2930.34415416785	11.3336338870334	3.58706966781143e-29	6.82141081828807e-26	TRUE	P0A8V2	Escherichia coli (strain K12)
1.5878515927889	0.140611844125956	1761.39831020645	11.2924455451032	1.33941313025861e-28	1.91033797703134e-25	TRUE	P08997	Escherichia coli (strain K12)
1.33246716586243	0.118625447050977	2138.90711711643	11.2325575918785	1.74008614908994e-28	1.98543829611162e-25	TRUE	P0A6M8	Escherichia coli (strain K12)
1.47623624094822	0.131395705485778	1819.60425273398	11.2350417807834	2.30007139364635e-28	2.1869845501254e-25	TRUE	P06959	Escherichia coli (strain K12)
1.38626048810485	0.12950306722468	1644.06545703064	10.7044606572891	6.76253125211519e-26	5.51146297047388e-23	TRUE	P0AEX9	Escherichia coli (strain K12)
1.2958247293776	0.121609906193148	1800.06416057938	10.6555853050285	9.44010773411623e-26	6.73197682789164e-23	TRUE	P25516	Escherichia coli (strain K12)
1.5226591861447	0.144996556733214	1253.88959148471	10.501347207481	8.78096913404891e-25	5.56615876774989e-22	TRUE	P22259	Escherichia coli (strain K12)
1.30794662022714	0.126306734038342	2468.00580836477	10.3553197712333	1.25432133689731e-24	7.15590322699913e-22	TRUE	P09373	Escherichia coli (strain K12)
1.54409003069843	0.14905367707405	1333.54627763132	10.359288418838	3.06512929433046e-24	1.58968751128684e-21	TRUE	P02925	Escherichia coli (strain K12)
1.31144735422466	0.127778169230537	1700.96583362577	10.2634695904787	5.08050081698915e-24	2.41535476341026e-21	TRUE	P36683	Escherichia coli (strain K12)
1.52025979689994	0.14861742026954	1471.08309286909	10.2293512708182	8.96235451187731e-24	3.93309480694308e-21	TRUE	P0A853	Escherichia coli (strain K12)
